step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
48,0.3351920247077942,0.9126984126984127,,,,,,,,2026-04-14T11:50:15.4020000Z
49,0.30053505301475525,0.9404761904761905,,,,,,,,2026-04-14T11:50:16.3110000Z
50,0.31097131967544556,0.9246031746031746,,0.4277099427722749,0.8928571428571429,,,,,2026-04-14T11:50:20.9870000Z
51,0.2887307107448578,0.9523809523809523,,,,,,,,2026-04-14T11:50:23.8520000Z
52,0.33389851450920105,0.8968253968253969,,,,,,,,2026-04-14T11:50:24.7570000Z
53,0.3988148272037506,0.8849206349206349,,,,,,,,2026-04-14T11:50:25.9760000Z
54,0.39134711027145386,0.8849206349206349,,,,,,,,2026-04-14T11:50:27.1820000Z
55,0.37867972254753113,0.9206349206349206,,,,,,,,2026-04-14T11:50:28.6990000Z
56,0.273216187953949,0.9087301587301587,,,,,,,,2026-04-14T11:50:29.9040000Z
57,0.38622555136680603,0.9206349206349206,,,,,,,,2026-04-14T11:50:31.1150000Z
58,0.43029433488845825,0.8690476190476191,,,,,,,,2026-04-14T11:50:32.9300000Z
59,0.35796666145324707,0.9523809523809523,,,,,,,,2026-04-14T11:50:33.8500000Z
60,0.37712380290031433,0.9007936507936508,,0.39610012750776985,0.8888888888888888,,,,,2026-04-14T11:50:38.1670000Z
61,0.33421003818511963,0.9325396825396826,,,,,,,,2026-04-14T11:50:40.1640000Z
62,0.361227810382843,0.9285714285714286,,,,,,,,2026-04-14T11:50:41.3730000Z
63,0.4224875569343567,0.876984126984127,,,,,,,,2026-04-14T11:50:42.5820000Z
64,0.35264626145362854,0.9246031746031746,,,,,,,,2026-04-14T11:50:43.7930000Z
65,0.3550950884819031,0.9246031746031746,,,,,,,,2026-04-14T11:50:45.0170000Z
66,0.3158862888813019,0.9325396825396826,,,,,,,,2026-04-14T11:50:46.2420000Z
67,0.4365452229976654,0.876984126984127,,,,,,,,2026-04-14T11:50:47.7880000Z
68,0.34554028511047363,0.9285714285714286,,,,,,,,2026-04-14T11:50:48.9990000Z
69,0.3313232362270355,0.9206349206349206,,,,,,,,2026-04-14T11:50:50.2530000Z
70,0.3828437328338623,0.8968253968253969,,0.3607296867976113,0.9007936507936508,,,,,2026-04-14T11:50:54.5960000Z
71,0.35673844814300537,0.9087301587301587,,,,,,,,2026-04-14T11:50:56.5780000Z
72,0.30494967103004456,0.9285714285714286,,,,,,,,2026-04-14T11:50:58.0960000Z
73,0.38026392459869385,0.876984126984127,,,,,,,,2026-04-14T11:50:59.0160000Z
74,0.42812690138816833,0.8611111111111112,,,,,,,,2026-04-14T11:51:00.2300000Z
75,0.26754212379455566,0.9444444444444444,,,,,,,,2026-04-14T11:51:01.7430000Z
76,0.23310212790966034,0.9444444444444444,,,,,,,,2026-04-14T11:51:02.9630000Z
77,0.3981902301311493,0.9166666666666666,,,,,,,,2026-04-14T11:51:04.1730000Z
78,0.26980555057525635,0.9325396825396826,,,,,,,,2026-04-14T11:51:05.4080000Z
79,0.3932581841945648,0.9087301587301587,,,,,,,,2026-04-14T11:51:06.9160000Z
80,0.3330211937427521,0.9047619047619048,,0.36274766165112693,0.8809523809523809,,0.34936032219538615,0.9113095238095238,,2026-04-14T11:51:16.6670000Z
81,0.2739623188972473,0.9523809523809523,,,,,,,,2026-04-14T11:51:22.2770000Z
82,0.32426688075065613,0.9206349206349206,,,,,,,,2026-04-14T11:51:23.4990000Z
83,0.35460421442985535,0.9126984126984127,,,,,,,,2026-04-14T11:51:24.7070000Z
84,0.35948485136032104,0.9166666666666666,,,,,,,,2026-04-14T11:51:25.9560000Z
85,0.2741411030292511,0.9642857142857143,,,,,,,,2026-04-14T11:51:27.2120000Z
86,0.22558365762233734,0.9722222222222222,,,,,,,,2026-04-14T11:51:28.4190000Z
87,0.21876801550388336,0.9563492063492064,,,,,,,,2026-04-14T11:51:29.9350000Z
88,0.3299345076084137,0.9126984126984127,,,,,,,,2026-04-14T11:51:31.1970000Z
89,0.23601828515529633,0.9603174603174603,,,,,,,,2026-04-14T11:51:32.4250000Z
90,0.19221341609954834,0.9722222222222222,,0.275492130763947,0.9404761904761905,,,,,2026-04-14T11:51:36.8170000Z
91,0.2722848951816559,0.9285714285714286,,,,,,,,2026-04-14T11:51:38.8620000Z
92,0.2891019284725189,0.9325396825396826,,,,,,,,2026-04-14T11:51:40.0760000Z
93,0.24758535623550415,0.9523809523809523,,,,,,,,2026-04-14T11:51:41.2770000Z
94,0.20729823410511017,0.9682539682539683,,,,,,,,2026-04-14T11:51:42.4780000Z
95,0.17197377979755402,0.9642857142857143,,,,,,,,2026-04-14T11:51:43.9820000Z
96,0.2972314655780792,0.8928571428571429,,,,,,,,2026-04-14T11:51:45.1910000Z
97,0.23513266444206238,0.9404761904761905,,,,,,,,2026-04-14T11:51:46.4060000Z
