step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
21,2.6240787506103516,0.4528301886792453,,,,,,,,2026-04-14T05:56:12.2060000Z
22,2.5802195072174072,0.4392523364485981,,,,,,,,2026-04-14T05:56:13.7100000Z
23,2.4618582725524902,0.41284403669724773,,,,,,,,2026-04-14T05:56:14.9040000Z
24,3.1033308506011963,0.4224137931034483,,,,,,,,2026-04-14T05:56:16.1120000Z
25,2.6526846885681152,0.4742268041237113,,,,,,,,2026-04-14T05:56:17.3270000Z
26,2.030644416809082,0.514018691588785,,,,,,,,2026-04-14T05:56:18.8860000Z
27,2.6022086143493652,0.4367816091954023,,,,,,,,2026-04-14T05:56:19.7900000Z
28,1.9962515830993652,0.514018691588785,,,,,,,,2026-04-14T05:56:21.0030000Z
29,1.8629233837127686,0.5660377358490566,,,,,,,,2026-04-14T05:56:22.2100000Z
30,2.012845754623413,0.5670103092783505,,1.9586820178561741,0.5666666666666667,,,,,2026-04-14T05:56:27.2620000Z
31,2.3909692764282227,0.47540983606557374,,,,,,,,2026-04-14T05:56:32.2970000Z
32,2.3198904991149902,0.49473684210526314,,,,,,,,2026-04-14T05:56:32.9510000Z
33,1.4057353734970093,0.6972477064220184,,,,,,,,2026-04-14T05:56:34.7540000Z
34,2.3828701972961426,0.5132743362831859,,,,,,,,2026-04-14T05:56:35.9540000Z
35,2.1038999557495117,0.5333333333333333,,,,,,,,2026-04-14T05:56:39.7020000Z
36,1.3592442274093628,0.6635514018691588,,,,,,,,2026-04-14T05:56:40.5900000Z
37,1.1401394605636597,0.7450980392156863,,,,,,,,2026-04-14T05:56:41.8300000Z
38,1.6115895509719849,0.6428571428571429,,,,,,,,2026-04-14T05:56:43.0400000Z
39,1.4042695760726929,0.6923076923076923,,,,,,,,2026-04-14T05:56:46.4080000Z
40,1.775894045829773,0.5887096774193549,,1.294973373413086,0.71875,,,,,2026-04-14T05:56:50.7360000Z
41,1.4049413204193115,0.627906976744186,,,,,,,,2026-04-14T05:57:01.1190000Z
42,1.4043471813201904,0.6630434782608695,,,,,,,,2026-04-14T05:57:02.1520000Z
